Country ISO3,Admin 1 PCode,Admin 1 Name,MPI,Headcount Ratio,Intensity of Deprivation,Vulnerable to Poverty,In Severe Poverty,Survey,Start Date,End Date
#country+code,#adm1+code,#adm1+name,#indicator+mpi,#indicator+headcount_ratio,#indicator+intensity_of_deprivation,#indicator+vulnerable_to_poverty,#indicator+in_severe_poverty,#meta+survey,#date+start,#date+end
NGA,,,0.1748,33.0441,52.9043,16.6232,18.0992,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,,FCT,0.0414,10.1775,40.6438,12.7172,2.0141,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG001,Abia,0.0419,9.3971,44.6266,10.5209,3.3537,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG002,Adamawa,0.1820,39.0971,46.5450,31.1860,15.2143,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG003,Akwa Ibom,0.0446,9.8074,45.4280,24.3235,3.6118,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG004,Anambra,0.0089,2.0449,43.3105,13.7643,0.5472,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG005,Bauchi,0.4411,75.3563,58.5358,12.4431,50.7513,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG006,Bayelsa,0.0644,13.9659,46.0830,23.5494,5.9807,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG007,Benue,0.1156,27.0206,42.7942,35.0295,7.6549,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG008,Borno,0.2922,53.8861,54.2321,23.3856,31.1462,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG009,Cross River,0.0775,19.0860,40.6066,34.7097,3.9392,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG010,Delta,0.0507,11.7821,43.0696,17.0435,3.0882,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG011,Ebonyi,0.0341,8.0227,42.4481,12.7693,1.0561,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG012,Edo,0.0358,8.3160,43.0149,6.3309,1.6950,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG013,Ekiti,0.0532,12.4744,42.6072,21.6381,3.5337,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG014,Enugu,0.0300,6.8819,43.6104,12.5876,2.3834,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG016,Gombe,0.3345,61.3412,54.5291,18.2031,40.1715,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG017,Imo,0.0183,4.6123,39.6540,7.7227,0.2865,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG018,Jigawa,0.4377,74.7774,58.5301,14.4265,51.9815,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG019,Kaduna,0.1671,34.0943,49.0019,16.4337,14.6989,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG020,Kano,0.2497,45.0612,55.4098,14.5068,26.7308,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG021,Katsina,0.3331,61.1319,54.4864,17.4986,35.1948,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG022,Kebbi,0.4373,73.7863,59.2602,9.8097,52.7493,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG023,Kogi,0.0638,14.0219,45.4947,23.3145,5.6812,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG024,Kwara,0.0962,20.1560,47.7497,14.7976,8.1368,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG025,Lagos,0.0044,1.1054,39.4491,1.5253,0.2073,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG026,Nasarawa,0.1888,40.5830,46.5126,23.9902,15.7076,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG027,Niger,0.2191,44.5601,49.1694,17.7555,22.7942,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG028,Ogun,0.0918,19.9482,46.0279,23.5266,6.9381,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG029,Ondo,0.0637,14.4482,44.0736,32.4008,4.2120,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG030,Osun,0.0315,7.5201,41.8408,13.0035,1.6488,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG031,Oyo,0.0809,17.3758,46.5440,11.0101,6.3096,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG032,Plateau,0.1945,42.4669,45.7951,30.4358,16.2632,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG033,Rivers,0.0351,8.3898,41.8616,10.6661,1.3755,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG034,Sokoto,0.4372,70.7390,61.8037,11.9548,51.4020,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG035,Taraba,0.2702,56.7040,47.6506,26.0228,25.4282,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG036,Yobe,0.3428,63.0234,54.3901,17.5802,43.5571,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
NGA,NG037,Zamfara,0.3913,71.8695,54.4413,10.6669,44.7360,MICS,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00
