LGA_Name,State,Latitude,Longitude,Cluster_Label,Risk_Level
Aba North,Abia,5.33333333,7.31666667,0,High
Aba South,Abia,5.1,7.35,0,High
Arochukwu,Abia,5.38333333,7.91666667,0,High
Bende,Abia,5.56666667,7.63333333,0,High
Ikwuano,Abia,5.43333333,7.56666667,0,High
Isiala Ngwa North,Abia,5.388966,7.446948,0,High
Isiala Ngwa South,Abia,5.36241,7.39998,0,High
Isuikwuato,Abia,5.533333,7.483333,0,High
Obi Ngwa,Abia,5.155402,7.457067,0,High
Ohafia,Abia,5.61666667,7.83333333,0,High
Osisioma,Abia,5.14972222,7.33027778,0,High
Ugwunagbo,Abia,4.984474,7.325783,0,High
Ukwa East,Abia,4.8872,7.3572,0,High
Ukwa West,Abia,4.9884,7.2425,0,High
Umu-Nneochi,Abia,5.985662,7.469005,0,High
Umuahia North,Abia,5.5333,7.4833,0,High
Umuahia South,Abia,5.515311,7.447314,0,High
Demsa,Adamawa,9.41666667,12.13333333,0,High
Fufore,Adamawa,9.21666667,12.65,0,High
Ganye,Adamawa,8.43333,12.0667,0,High
Girei,Adamawa,9.36667,12.55,0,High
Gombi,Adamawa,10.16222222,12.74,0,High
Guyuk,Adamawa,9.90555556,11.92833333,0,High
Hong,Adamawa,10.23166667,12.93027778,0,High
Jada,Adamawa,8.76666667,12.15,0,High
Lamurde,Adamawa,9.6,11.78333333,0,High
Madagali,Adamawa,10.74611111,13.41583333,0,High
Maiha,Adamawa,9.99555556,13.21805556,0,High
Mayo Belwa,Adamawa,9.05,12.05,0,High
Michika,Adamawa,10.61666667,13.38333333,0,High
Mubi North,Adamawa,10.26666667,13.26666667,0,High
Mubi South,Adamawa,10.1874,13.39576,0,High
Numan,Adamawa,9.46694444,12.03277778,0,High
Shelleng,Adamawa,9.88472222,12.00888889,0,High
Song,Adamawa,9.82444444,12.625,0,High
Toungo,Adamawa,8.11666667,12.05,0,High
Yola North,Adamawa,9.188528,12.393866,0,High
Yola South,Adamawa,9.249949,12.412618,0,High
Abak,Akwa Ibom,4.98333333,7.78333333,0,High
Eastern Obolo,Akwa Ibom,4.533333,7.7,0,High
Eket,Akwa Ibom,4.65,7.93333333,0,High
Esit Eket,Akwa Ibom,4.66055556,8.06666667,0,High
Essien Udim,Akwa Ibom,5.13333333,7.68333333,0,High
Etim Ekpo,Akwa Ibom,5.01666667,7.61666667,0,High
Etinan,Akwa Ibom,4.85,7.83333333,0,High
Ibeno,Akwa Ibom,4.568693,7.976396,0,High
Ibesikpo Asutan,Akwa Ibom,4.76666667,7.95,0,High
Ibiono Ibom,Akwa Ibom,5.23333333,7.88333333,0,High
Ika,Akwa Ibom,5.01666667,7.53333333,0,High
Ikono,Akwa Ibom,5.210278,7.793889,0,High
Ikot Abasi,Akwa Ibom,4.633333,7.65,0,High
Ikot Ekpene,Akwa Ibom,5.18333333,7.71666667,0,High
Ini,Akwa Ibom,5.4,7.733333,0,High
Itu,Akwa Ibom,5.16666667,7.98333333,0,High
