"timestamp_utc","process","pid","working_set_mb","private_memory_mb","note"
"2026-04-30T20:28:46.1199961Z","node","2964","12.33","17",""
"2026-04-30T20:28:46.1620306Z","node","15484","56.19","62.12",""
"2026-04-30T20:28:46.1620306Z","node","17256","539.59","566.11",""
"2026-04-30T20:28:46.1620306Z","node","25844","18.06","160.21",""
"2026-04-30T20:28:46.1620306Z","node","27336","0.19","74.68",""
"2026-04-30T20:28:46.1620306Z","node","33460","0.1","51.59",""
"2026-04-30T20:28:47.2088592Z","node","2964","12.33","17",""
"2026-04-30T20:28:47.2088592Z","node","15484","56.19","62.12",""
"2026-04-30T20:28:47.2088592Z","node","17256","539.59","566.11",""
"2026-04-30T20:28:47.2088592Z","node","25844","18.06","160.21",""
"2026-04-30T20:28:47.2098606Z","node","27336","0.19","74.68",""
"2026-04-30T20:28:47.2098606Z","node","33460","0.1","51.59",""
